jp_name	cn_name	aliases	jp_profile_id	cn_profile_id	jp_voice_name	cn_voice_name	jp_style	cn_style	jp_pitch	cn_pitch	jp_rate	cn_rate	voice_archetype	cv_jp	gender	personality_tags	confidence	source_url	notes
マシュ	玛修	マシュ・キリエライト|キリエライト|Mash|Mashu|玛修·基列莱特|基列莱特	mashu_soft_female	mashu_cn_gentle	ja-JP-NanamiNeural	zh-CN-XiaoxiaoNeural	chat	gentle	+4%	+4%	0.96	0.98	gentle_support		female	gentle,loyal,young,earnest	manual		seed profile; tune by listening
ダ・ヴィンチ	达·芬奇	レオナルド・ダ・ヴィンチ|レオナルド|ダヴィンチ|Da Vinci|Leonardo da Vinci|莱昂纳多·达·芬奇	davinci_bright_female	davinci_cn_cheerful	ja-JP-AoiNeural	zh-CN-XiaoyiNeural		cheerful	+2%	+2%	1.08	1.06	bright_genius		female	bright,clever,playful,quick	manual		seed profile; tune by listening
ゴルドルフ	戈尔德鲁夫	ゴルドルフ・ムジーク|ムジーク|Goredolf|Goredolf Musik|戈尔德鲁夫·穆吉克	goredolf_adult_male	goredolf_cn_grumble	ja-JP-DaichiNeural	zh-CN-YunyeNeural		disgruntled	-7%	-5%	0.98	0.98	adult_grumbling_male		male	proud,nervous,comic,adult	manual		seed profile; tune by listening
ホームズ	福尔摩斯	シャーロック・ホームズ|シャーロック|Sherlock Holmes|Holmes|夏洛克·福尔摩斯|夏洛克	holmes_calm_male	holmes_cn_serious	ja-JP-NaokiNeural	zh-CN-YunxiNeural		serious	-3%	-3%	0.94	0.94	calm_detective		male	calm,analytical,precise,low	manual		seed profile; tune by listening
天草四郎	天草四郎	天草|Amakusa Shirou|Amakusa Shiro	amakusa_shirou_young_male	amakusa_shirou_cn_young_male	ja-JP-NaokiNeural	zh-CN-YunxiNeural		serious	+1%	+1%	0.97	0.97	young_serious_male		male	calm,serious,young,saint	manual		tuned male override
